Time	spline
0	5.91328494262871
1	5.84813437090314
2	5.83368076320275
3	5.8143378344567
4	5.72758587657607
5	5.63990512679546
6	5.57566896823603
7	5.50830784451829
8	5.45592332458137
9	5.3925244874623
10	5.31361087027886
11	5.22221022430019
12	5.13245207264166
13	5.04247096434836
14	4.95468453275515
15	4.86437674662129
16	4.77854042293356
17	4.69189890726687
18	4.60263728330514
19	4.50773281994477
20	4.41295940181084
21	4.33921013955527
22	4.28018315203921
23	4.17740535899312
24	4.06353121147828
25	3.93917243641075
26	3.91796542528079
27	3.9095760655366
28	3.90355983284933
29	3.85568324343315
30	3.85137287962324
31	3.78614050582758
32	3.75096795423588
33	3.7552357115005
34	3.7525236492081
35	3.74206461940757
36	3.73132577762386
37	3.72034494312723
38	3.71342433552664
39	3.70683343440264
40	3.69887835625497
41	3.6970375014699
42	3.69866472109614
43	3.70339263845011
44	3.70658127537176
45	3.70797275865105
46	3.70728882428452
47	3.71619468891486
48	3.74491513895852
49	3.78459800586565
50	3.81329954180759
51	3.83410418321293
52	3.86471406509048
53	3.89879062313636
54	3.94819304252576
55	3.99946917276601
56	4.05137977609243
57	4.0826529416366
58	4.10610692934391
59	4.12192549745892
60	4.17480379947609
61	4.2175152883601
62	4.24934029346477
63	4.27378092166701
64	4.29343513654427
65	4.31253887316451
66	4.33552318959347
67	4.36701615298738
68	4.40774194144433
69	4.46061555872264
70	4.52346303758251
71	4.52618637652302
72	4.52329943290842
73	4.53955333978035
74	4.55171030423518
75	4.57709277078415
76	4.59103460701648
77	4.58773083200934
78	4.5689521295092
79	4.5415547729327
80	4.50698507763334
81	4.48835324854685
82	4.45516456986196
83	4.42432304819579
84	4.38225789505422
85	4.33990505746496
86	4.31596093192446
87	4.30260353830589
88	4.27664426250616
89	4.2305703922756
90	4.18101439782247
91	4.16428499397252
92	4.19439109120508
93	4.23485352577673
94	4.24588176777879
95	4.26339772974507
96	4.32168144049739
97	4.32250567926814
98	4.34204951492174
99	4.40817677465501
100	4.52095213331939
101	4.62520533729444
102	4.77866057504901
103	4.9372263279747
104	5.09136736403717
105	5.21659041635465
106	5.31944994212207
107	5.428555147609
108	5.54574434293126
109	5.71060515835794
110	5.89285820807974
111	6.08963436871164
112	6.26069619382767
113	6.40202643074504
114	6.55240923756143
115	6.72374303501817
116	6.93493794674344
117	7.16838706791766
118	7.39205426459611
119	7.60468657841918
120	7.80887184036888
121	8.01802876504794
122	8.22833986635795
123	8.43587383441566
124	8.62136691016604
125	8.79328770752404
126	8.95808343247497
127	9.15815894570366
128	9.35838898525687
129	9.55653143102508
130	9.69252790642053
131	9.81731570799455
132	9.93733508410303
133	10.0833883267354
134	10.2258991763248
135	10.3888892323597
136	10.5425666633143
137	10.6662519861263
138	10.7626406015963
139	10.8536992544696
140	10.9628902140681
141	11.0459564837105
142	11.1261597323911
143	11.2061326598268
144	11.3230822123562
145	11.436963076528
146	11.5439535141255
147	11.6157230350045
148	11.7092187624499
149	11.78572748712
150	11.8613254205672
151	11.9415431912276
152	12.0189681447698
153	12.080437159504
154	12.1496543178806
155	12.220371949281
156	12.3094579305733
157	12.3989077915804
158	12.4879572720625
159	12.5549970549238
160	12.6313511481182
161	12.7171428387913
162	12.8089048027578
163	12.8996903010062
164	12.9892324664794
165	13.0769148310187
166	13.1639289852829
167	13.249157478697
168	13.3333099106243
169	13.4188922291898
170	13.505841095374
171	13.5910824984366
172	13.6769404865081
173	13.7646774877263
174	13.8565556388844
175	13.9468810926152
176	14.0311753132061
177	14.1125981061094
178	14.1985795103625
179	14.2836986164273
180	14.3752051594773
181	14.4661611151917
182	14.5485220566486
183	14.6214344594937
184	14.6917658149826
185	14.7686355003758
186	14.8336904844415
187	14.9042912702363
188	14.984408353352
189	15.061736573836
190	15.134842667426
191	15.1775189081312
192	15.212403420718
193	15.2743932822413
194	15.3325542734131
195	15.3863560498118
196	15.4069311351611
197	15.4420965500984
198	15.4640429796195
199	15.4842230240091
200	15.5277982781637
201	15.5698474038827
202	15.6086468306669
203	15.6241027056907
204	15.6582605115673
205	15.6764225040912
206	15.7002384519206
207	15.7296068756674
208	15.75913817683
209	15.7844508706321
210	15.810575894952
211	15.8418263745272
212	15.8689512838499
213	15.9018280586207
214	15.9303663152463
215	15.9520615416312
216	15.971320257583
217	15.9875762737028
218	16.0251222232082
219	16.0518837102004
220	16.0871978177173
221	16.1214246521838
222	16.1555380788087
223	16.1768071716493
224	16.2000398870676
225	16.2315062993489
226	16.2608909930865
227	16.2944831454531
228	16.3222531379408
229	16.3554145000602
230	16.3929950947977
231	16.4136093641626
232	16.4268474116129
233	16.4346863726864
234	16.4395784343285
235	16.4556146880098
236	16.453213433209
237	16.4447750033008
238	16.4492843704053
239	16.4701545708765
240	16.489650391931
241	16.5057464493816
242	16.4737092235834
243	16.4268957746194
244	16.3679838424466
245	16.3338828219176
246	16.3270524151208
247	16.3157363177039
248	16.3007445469738
249	16.2824522775698
250	16.1936253141745
251	16.161462197862
252	16.1137846970222
253	16.0108059997876
254	15.9074151555607
255	15.8061773531629
256	15.7218788282711
257	15.6466369849219
258	15.568385108568
259	15.485430030107
260	15.3868719129253
261	15.2929219150635
262	15.2034882140299
263	15.1134756404221
264	15.0226884816182
265	14.9306429021317
266	14.8346497772201
267	14.7415995771159
268	14.647584221837
269	14.5529024543069
270	14.4535656924241
271	14.3550422037375
272	14.2559044609444
273	14.1493272725362
274	14.0496894848082
275	13.9619941437188
276	13.8792769453594
277	13.77739189143
278	13.6890699299682
279	13.5900910060032
280	13.4927793110175
